calls		time		avg		function
500		3537.0		7.074		main.runCreeps
5119		1639.5		0.320		role.bootstrapper.run
4377		1331.2		0.304		Creep.moveTo
4343		894.0		0.206		Creep.move
3519		746.4		0.212		Creep.moveByPath
2898		723.5		0.250		role.dropHarvester.run
3365		559.3		0.166		Creep.harvest
1264		479.0		0.379		role.builder.run
2060		363.2		0.176		Creep.upgradeController
500		337.4		0.675		main.runPlanners
2318		322.2		0.139		plan.room.run
2342		313.1		0.134		Creep.withdraw
1004		291.0		0.290		role.hauler.run
500		266.9		0.534		role.storeUpgrader.run
971		265.7		0.274		RoomPosition.findPathTo
971		254.7		0.262		Room.findPath
500		198.0		0.396		main.runStructs
1526		191.0		0.125		RoomPosition.findClosestByPath
13595		162.3		0.012		Room.find
529		159.8		0.302		role.remoteHarvester.run
1582		141.3		0.089		Creep.transfer
4500		107.9		0.024		struct.tower.run
632		95.0		0.150		role.builder.spawnCondition
1081		91.7		0.085		Creep.repair
632		57.5		0.091		role.hauler.spawnCondition
19657		52.8		0.003		RoomPosition.isNearTo
632		37.8		0.060		role.builder.mkBody
10457		36.8		0.004		util.splay.isTurn
1046		26.5		0.025		RoomPosition.findClosestByRange
560		24.2		0.043		RoomPosition.findInRange
11633		18.9		0.002		RoomPosition.isEqualTo
3500		17.0		0.005		struct.link.run
5481		15.1		0.003		Creep.getActiveBodyparts
4100		14.8		0.004		util.creep.bodyCost
7457		14.5		0.002		Structure.toString
1909		13.9		0.007		role.bootstrapper.spawnCondition
10		12.7		1.270		util.stats.run
632		12.2		0.019		role.storeUpgrader.spawnCondition
15		8.6		0.577		util.pathing.swampCheck
3872		6.9		0.002		RoomPosition.inRangeTo
201		5.3		0.026		Creep.pickup
619		4.1		0.007		Source.toString
1		2.5		2.527		role.remoteHarvester.spawn
18		2.4		0.136		role.dropHarvester.spawn
10		2.1		0.210		Spawn.spawnCreep
639		1.7		0.003		RoomPosition.lookFor
5		1.4		0.284		role.bootstrapper.spawn
500		0.8		0.002		plan.claim.test
500		0.8		0.002		plan.lab.test
15		0.7		0.046		Room.createConstructionSite
3		0.6		0.208		util.pathing.spacesNear
25		0.4		0.017		main.cleanup
1		0.3		0.315		role.hauler.spawn
3		0.2		0.075		Room.lookAtArea
1		0.2		0.217		util.pathing.roomCallback
52		0.2		0.003		Spawn.toString
46		0.1		0.003		RoomPosition.getRangeTo
24		0.1		0.002		Room.getPositionAt
1		0.0		0.033		Room.toJSON
5		0.0		0.006		Room.lookForAt
1		0.0		0.003		Room.toString
Avg: 8.49	Total: 4245.60	Ticks: 500
